text,label
I can't stop self-sabotaging and it's making me feel sad.,1
Is it normal to feel lost after family conflict?,1
How can I cope with severe panic attacks?,1
I've been feeling extremely anxious for the past few weeks.,1
What are the best strategies for booking cheap flights?,0
Dealing with trust issues has left me feeling anxious.,1
Is it better to handle router connectivity drops client-side or server-side?,0
Where is the next the Super Bowl being held?,0
How do I regain my confidence after experiencing chronic stress?,1
How can I cope with severe mood swings?,1
Is quantum entanglement widely accepted by modern physicists?,0
What is the traditional culture like in Australia?,0
What are the hidden costs of starting a small business?,0
Who is the all-time top scorer in the Olympics?,0
Is meditation actually helpful for treating insomnia?,1
How do I fix database connection timeouts?,0
Are there any free tools for booking cheap flights?,0
What should I do if I am experiencing loneliness every night?,1
How many miles is it from New York to Italy?,0
Is it better to handle CSS layout bugs client-side or server-side?,0
I need help troubleshooting git merge conflicts on my server.,0
I feel so angry every time I think about work.,1
Which ingredients do I need to make guacamole?,0
Dealing with trust issues has left me feeling worthless.,1
"My friend is dealing with apathy, how can I provide emotional support?",1
Why do I constantly find myself self-sabotaging?,1
What is the capital of India?,0
Is it normal to feel overwhelmed after codependency?,1
I'm struggling with feeling unloved and feel completely overwhelmed.,1
Can you recommend a good book on dealing with insomnia?,1
Are there any free tools for cleaning a cast iron skillet?,0
What's the best recipe for authentic chocolate chip cookies?,0
Is it normal to feel exhausted after fear of abandonment?,1
What is the main export of Egypt?,0
What are some effective psychological remedies for insomnia?,1
Is breathing exercises actually helpful for treating hopelessness?,1
Dealing with communication breakdown has left me feeling scared.,1
How do I regain my confidence after experiencing overthinking?,1
I think I need journaling because my low self-esteem is out of control.,1
What wine pairs best with vegan chili?,0
I need help troubleshooting database connection timeouts on my server.,0
Who won the Masters Tournament last year?,0
I think I need exposure therapy because my imposter syndrome is out of control.,1
How to manage mood swings without medication?,1
Dealing with a toxic breakup has left me feeling stressed out.,1
How long should I bake chocolate chip cookies?,0
Are there any daily habits to improve my insomnia?,1
Can you recommend a good book on dealing with chronic stress?,1
How do I regain my confidence after experiencing fear of failure?,1
I think I need journaling because my burnout is out of control.,1
What are the best grounding techniques for when I feel lonely?,1
What are the best grounding techniques for when I feel overwhelmed?,1
How do I regain my confidence after experiencing anxiety?,1
What are some effective psychological remedies for panic attacks?,1
Are there any daily habits to improve my emotional exhaustion?,1
I can't stop sleeping too much and it's making me feel inadequate.,1
"I want to stop crying for no reason, where do I start?",1
What are some effective psychological remedies for chronic stress?,1
Is string theory widely accepted by modern physicists?,0
I feel so paranoid every time I think about work.,1
I'm struggling with fear of abandonment and feel completely exhausted.,1
I've been feeling extremely lost for the past few weeks.,1
How do I regain my confidence after experiencing insomnia?,1
What wine pairs best with sushi rolls?,0
What are the best strategies for buying a house?,0
What is the traditional culture like in Brazil?,0
How long should I bake guacamole?,0
What are the hidden costs of editing a video?,0
Is counselling actually helpful for treating depression?,1
How many miles is it from New York to Japan?,0
How do I regain my confidence after experiencing burnout?,1
What are the best strategies for cleaning a cast iron skillet?,0
Is it normal to feel worthless after feeling unloved?,1
Who won the Tour de France last year?,0
What are the hidden costs of booking cheap flights?,0
What are some effective psychological remedies for loneliness?,1
What are the rules for qualifying for the Stanley Cup?,0
Are there any free tools for investing in index funds?,0
I need advice on managing overthinking before it gets worse.,1
Could obsessing over mistakes be a sign of underlying apathy?,1
I'm struggling with a toxic breakup and feel completely angry.,1
Dealing with communication breakdown has left me feeling paranoid.,1
"I want to stop losing my temper, where do I start?",1
What are the rules for qualifying for the Champions League?,0
I keep getting API rate limiting when I run my code.,0
Can you explain the theory of photosynthesis in simple terms?,0
Which ingredients do I need to make spaghetti carbonara?,0
Why do I constantly find myself losing my temper?,1
"My friend is dealing with anxiety, how can I provide emotional support?",1
Is meditation actually helpful for treating low self-esteem?,1
Tips for overcoming lack of motivation in daily life?,1
What's the best recipe for authentic beef stew?,0
What are the best strategies for investing in index funds?,0
What are the hidden costs of learning Spanish?,0
What is the traditional culture like in South Africa?,0
What are the rules for qualifying for the Tour de France?,0
"I want to stop sleeping too much, where do I start?",1
What are the rules for qualifying for Wimbledon?,0
What are some effective psychological remedies for trauma?,1
Is thermodynamics widely accepted by modern physicists?,0
How do I regain my confidence after experiencing low self-esteem?,1
Which ingredients do I need to make chicken tikka masala?,0
Is therapy actually helpful for treating trauma?,1
Could natural selection explain the origins of the universe?,0
What should I do if I am experiencing panic attacks every night?,1
Who won the Champions League last year?,0
I've been feeling extremely empty for the past few weeks.,1
What are the hidden costs of buying a house?,0
What are the best grounding techniques for when I feel worthless?,1
"I want to stop worrying about the future, where do I start?",1
How do I fix a memory leak in Python?,0
What should I do if I am experiencing low self-esteem every night?,1
What are the rules for qualifying for the Masters Tournament?,0
What is the main export of Germany?,0
Is it better to handle a memory leak in Python client-side or server-side?,0
How can I cope with severe brain fog?,1
Dealing with trust issues has left me feeling numb.,1
What should I do if I am experiencing lack of motivation every night?,1
Dealing with feeling unloved has left me feeling sad.,1
How do I fix API rate limiting?,0
What is the main export of Argentina?,0
What wine pairs best with spaghetti carbonara?,0
Can you recommend a good book on dealing with fear of failure?,1
Is natural selection widely accepted by modern physicists?,0
I need advice on managing burnout before it gets worse.,1
I need advice on managing insomnia before it gets worse.,1
How long should I bake pad thai?,0
Tips for overcoming insomnia in daily life?,1
I think I need journaling because my anxiety is out of control.,1
Is grounding techniques actually helpful for treating grief?,1
I can't stop binge eating and it's making me feel anxious.,1
I think I need therapy because my panic attacks is out of control.,1
"I want to stop binge eating, where do I start?",1
Where is the next the Olympics being held?,0
How long should I bake spaghetti carbonara?,0
What are the best grounding techniques for when I feel stressed out?,1
What's the best recipe for authentic chicken tikka masala?,0
How many miles is it from New York to Argentina?,0
I'm struggling with codependency and feel completely overwhelmed.,1
What is the capital of France?,0
How to manage loneliness without medication?,1
"I want to stop avoiding social situations, where do I start?",1
I feel lonely and don't know who to talk to.,1
I keep getting router connectivity drops when I run my code.,0
What are the rules for qualifying for the Olympics?,0
What is the main export of Mexico?,0
I need help troubleshooting SSL certificate errors on my server.,0
How long should I bake sushi rolls?,0
Why do I constantly find myself worrying about the future?,1
Where is the next the World Cup being held?,0
What wine pairs best with guacamole?,0
I can't stop losing my temper and it's making me feel angry.,1
How to avoid router connectivity drops in a production environment?,0
How to avoid DNS resolution failures in a production environment?,0
Are there any daily habits to improve my depression?,1
What should I do if I am experiencing depression every night?,1
What are some effective psychological remedies for fear of failure?,1
Are there any free tools for learning Spanish?,0
I think I need counselling because my chronic stress is out of control.,1
I think I need therapy because my social anxiety is out of control.,1
Are there any daily habits to improve my fear of failure?,1
How do I regain my confidence after experiencing loneliness?,1
I keep getting CSS layout bugs when I run my code.,0
Where is the next the World Series being held?,0
How many miles is it from New York to South Africa?,0
Can you recommend a good book on dealing with emotional exhaustion?,1
How many miles is it from New York to Australia?,0
Could losing my temper be a sign of underlying fear of failure?,1
I'm struggling with a toxic breakup and feel completely stressed out.,1
What are the hidden costs of cleaning a cast iron skillet?,0
Who won the Stanley Cup last year?,0
How do I regain my confidence after experiencing social anxiety?,1
Can someone give me a step-by-step guide on learning Spanish?,0
How to manage chronic stress without medication?,1
Where is the next the Masters Tournament being held?,0
Which ingredients do I need to make french onion soup?,0
Does online breathing exercises work as well as in-person sessions?,1
Who is the all-time top scorer in the World Cup?,0
Can someone give me a step-by-step guide on investing in index funds?,0
What is the capital of Canada?,0
Are there any free tools for changing a car tire?,0
How many miles is it from New York to Canada?,0
Where is the next the Stanley Cup being held?,0
How does dark matter affect our daily lives?,0
Is it better to handle SSL certificate errors client-side or server-side?,0
I can't stop avoiding social situations and it's making me feel numb.,1
I think I need mindfulness because my trauma is out of control.,1
Can you recommend a good book on dealing with hopelessness?,1
How to avoid a memory leak in Python in a production environment?,0
I'm struggling with feeling unloved and feel completely worthless.,1
What is the main export of Italy?,0
What is the traditional culture like in Canada?,0
What is the traditional culture like in Mexico?,0
How to avoid API rate limiting in a production environment?,0
I need help troubleshooting slow boot times on my server.,0
I need help troubleshooting a memory leak in Python on my server.,0
I'm struggling with communication breakdown and feel completely anxious.,1
Is the placebo effect widely accepted by modern physicists?,0
What are the hidden costs of changing a car tire?,0
What wine pairs best with chicken tikka masala?,0
What are the best strategies for growing tomatoes?,0
How to avoid SSL certificate errors in a production environment?,0
Does online counselling work as well as in-person sessions?,1
Could losing my temper be a sign of underlying mood swings?,1
What are the best strategies for editing a video?,0
Is it normal to feel lonely after a toxic breakup?,1
I feel anxious and don't know who to talk to.,1
Which ingredients do I need to make sourdough bread?,0
I feel angry and don't know who to talk to.,1
How many miles is it from New York to Germany?,0
How do I heal from communication breakdown?,1
I feel so scared every time I think about work.,1
How do I fix a blue screen error?,0
Is dark matter widely accepted by modern physicists?,0
Which ingredients do I need to make sushi rolls?,0
What's the best recipe for authentic sourdough bread?,0
Is nuclear fusion widely accepted by modern physicists?,0
How many miles is it from New York to Egypt?,0
I've been feeling extremely exhausted for the past few weeks.,1
What are the best grounding techniques for when I feel exhausted?,1
I need advice on managing hopelessness before it gets worse.,1
What wine pairs best with beef stew?,0
Can someone give me a step-by-step guide on starting a small business?,0
Is it better to handle database connection timeouts client-side or server-side?,0
I can't stop procrastinating and it's making me feel empty.,1
How does plate tectonics affect our daily lives?,0
How do I heal from family conflict?,1
What are some effective psychological remedies for burnout?,1
What is the main export of Brazil?,0
Could nuclear fusion explain the origins of the universe?,0
I can't stop binge eating and it's making me feel scared.,1
What's the best recipe for authentic vegan chili?,0
"My friend is dealing with trauma, how can I provide emotional support?",1
How many miles is it from New York to France?,0
Is grounding techniques actually helpful for treating overthinking?,1
Tips for overcoming fear of failure in daily life?,1
Is it better to handle a blue screen error client-side or server-side?,0
How long should I bake vegan chili?,0
I need advice on managing anxiety before it gets worse.,1
Dealing with communication breakdown has left me feeling stressed out.,1
I feel sad and don't know who to talk to.,1
I'm struggling with communication breakdown and feel completely sad.,1
Can someone give me a step-by-step guide on cleaning a cast iron skillet?,0
How do I fix SSL certificate errors?,0
How many miles is it from New York to India?,0
I need help troubleshooting a blue screen error on my server.,0
How to avoid slow boot times in a production environment?,0
What's the best recipe for authentic sushi rolls?,0
Is meditation actually helpful for treating loneliness?,1
Is it normal to feel lonely after family conflict?,1
I feel empty and don't know who to talk to.,1
Can someone give me a step-by-step guide on buying a house?,0
Could string theory explain the origins of the universe?,0
I think I need CBT because my apathy is out of control.,1
Can you recommend a good book on dealing with burnout?,1
How can I cope with severe insomnia?,1
"I want to stop pushing people away, where do I start?",1
Dealing with a toxic breakup has left me feeling lonely.,1
I need advice on managing depression before it gets worse.,1
What is the main export of Japan?,0
How do I regain my confidence after experiencing mood swings?,1
Are there any daily habits to improve my apathy?,1
What should I do if I am experiencing fear of failure every night?,1
What are the best grounding techniques for when I feel scared?,1
Does online grounding techniques work as well as in-person sessions?,1
What is the capital of Australia?,0
What are the best strategies for writing a resume?,0
I'm struggling with fear of abandonment and feel completely empty.,1
Who is the all-time top scorer in the World Series?,0
I've been feeling extremely stressed out for the past few weeks.,1
How long should I bake chicken tikka masala?,0
Why do I constantly find myself obsessing over mistakes?,1
How does natural selection affect our daily lives?,0
Tips for overcoming apathy in daily life?,1
Is relativity widely accepted by modern physicists?,0
What's the best recipe for authentic guacamole?,0
Could worrying about the future be a sign of underlying grief?,1
What are the hidden costs of investing in index funds?,0
How does thermodynamics affect our daily lives?,0
What are some effective psychological remedies for anxiety?,1
What should I do if I am experiencing anxiety every night?,1
Can someone give me a step-by-step guide on growing tomatoes?,0
How can I cope with severe lack of motivation?,1
How to manage brain fog without medication?,1
I feel so lonely every time I think about work.,1
What are the advantages of object-oriented programming?,0
Are there any daily habits to improve my grief?,1
I've been feeling extremely inadequate for the past few weeks.,1
Could worrying about the future be a sign of underlying chronic stress?,1
Is grounding techniques actually helpful for treating lack of motivation?,1
Who won Wimbledon last year?,0
Is it normal to feel empty after codependency?,1
What's the best recipe for authentic spaghetti carbonara?,0
Where is the next the NBA Finals being held?,0
What is the traditional culture like in Italy?,0
What is the capital of South Africa?,0
What is the main export of India?,0
Are there any daily habits to improve my burnout?,1
Could quantum entanglement explain the origins of the universe?,0
I keep getting git merge conflicts when I run my code.,0
Can you explain the theory of dark matter in simple terms?,0
"I want to stop self-sabotaging, where do I start?",1
Does online mindfulness work as well as in-person sessions?,1
What is the traditional culture like in Japan?,0
Is it better to handle DNS resolution failures client-side or server-side?,0
Who is the all-time top scorer in the Tour de France?,0
I need help troubleshooting CSS layout bugs on my server.,0
I need advice on managing chronic stress before it gets worse.,1
Who is the all-time top scorer in the Stanley Cup?,0
Who is the all-time top scorer in Wimbledon?,0
Could photosynthesis explain the origins of the universe?,0
Why do I constantly find myself avoiding social situations?,1
I've been feeling extremely paranoid for the past few weeks.,1
How long should I bake sourdough bread?,0
Does online meditation work as well as in-person sessions?,1
I feel so anxious every time I think about work.,1
I feel so inadequate every time I think about work.,1
Can you recommend a good book on dealing with social anxiety?,1
What are the best strategies for changing a car tire?,0
I feel so numb every time I think about work.,1
How to manage imposter syndrome without medication?,1
What are the rules for qualifying for the World Cup?,0
What are the best strategies for starting a small business?,0
I'm struggling with trust issues and feel completely disconnected.,1
"My friend is dealing with chronic stress, how can I provide emotional support?",1
Is plate tectonics widely accepted by modern physicists?,0
I'm struggling with feeling unloved and feel completely sad.,1
Tips for overcoming social anxiety in daily life?,1
What are the rules for qualifying for the World Series?,0
Can someone give me a step-by-step guide on changing a car tire?,0
I keep getting a blue screen error when I run my code.,0
What is the main export of Canada?,0
What is the main export of France?,0
I need advice on managing social anxiety before it gets worse.,1
Is it normal to feel disconnected after feeling unloved?,1
What is the capital of Italy?,0
What is the capital of Mexico?,0
How do I regain my confidence after experiencing hopelessness?,1
How do I fix router connectivity drops?,0
What are some effective psychological remedies for brain fog?,1
Dealing with family conflict has left me feeling stressed out.,1
I think I need psychotherapy because my hopelessness is out of control.,1
What are the best grounding techniques for when I feel paranoid?,1
Can you explain the theory of plate tectonics in simple terms?,0
How long should I bake beef stew?,0
What wine pairs best with pad thai?,0
How to manage trauma without medication?,1
I think I need CBT because my imposter syndrome is out of control.,1
What is the capital of Argentina?,0
Are there any daily habits to improve my lack of motivation?,1
Is it normal to feel worthless after codependency?,1
I keep getting a memory leak in Python when I run my code.,0
How do I install Ubuntu alongside Windows?,0
I think I need meditation because my lack of motivation is out of control.,1
Explain the difference between REST API and GraphQL.,0
I think I need journaling because my trauma is out of control.,1
Who won the World Series last year?,0
I think I need CBT because my lack of motivation is out of control.,1
I feel numb and don't know who to talk to.,1
Is it normal to feel worthless after fear of abandonment?,1
Can you explain the theory of nuclear fusion in simple terms?,0
I'm struggling with communication breakdown and feel completely inadequate.,1
How does quantum entanglement affect our daily lives?,0
I need advice on managing panic attacks before it gets worse.,1
What is the purpose of Kubernetes in cloud computing?,0
Are there any free tools for growing tomatoes?,0
How can I cope with severe overthinking?,1
Can someone give me a step-by-step guide on editing a video?,0
What is the traditional culture like in Egypt?,0
I feel so disconnected every time I think about work.,1
Tips for overcoming depression in daily life?,1
Is meditation actually helpful for treating brain fog?,1
Which ingredients do I need to make vegan chili?,0
I feel so sad every time I think about work.,1
Could dark matter explain the origins of the universe?,0
How can I optimize SQL queries for better performance?,0
Where is the next the Tour de France being held?,0
Is it normal to feel lost after a toxic breakup?,1
How to avoid database connection timeouts in a production environment?,0
I keep getting database connection timeouts when I run my code.,0
I keep getting slow boot times when I run my code.,0
What are the hidden costs of writing a resume?,0
I can't stop pushing people away and it's making me feel scared.,1
What are the best grounding techniques for when I feel inadequate?,1
How do I heal from a toxic breakup?,1
I think I need journaling because my loneliness is out of control.,1
What are the rules for qualifying for the NBA Finals?,0
What should I do if I am experiencing trauma every night?,1
Could pushing people away be a sign of underlying trauma?,1
Could the placebo effect explain the origins of the universe?,0
"I want to stop procrastinating, where do I start?",1
Which ingredients do I need to make chocolate chip cookies?,0
What wine pairs best with french onion soup?,0
Who is the all-time top scorer in the Champions League?,0
I need help troubleshooting API rate limiting on my server.,0
Can you explain the theory of quantum entanglement in simple terms?,0
How many miles is it from New York to Brazil?,0
Who is the all-time top scorer in the NBA Finals?,0
Where is the next the Champions League being held?,0
Are there any free tools for editing a video?,0
What are some effective psychological remedies for depression?,1
How do I fix DNS resolution failures?,0
What is the traditional culture like in France?,0
"My friend is dealing with social anxiety, how can I provide emotional support?",1
What are the best grounding techniques for when I feel disconnected?,1
What should I do if I am experiencing burnout every night?,1
Which ingredients do I need to make pad thai?,0
Are there any free tools for buying a house?,0
Does online CBT work as well as in-person sessions?,1
How to avoid a blue screen error in a production environment?,0
How can I cope with severe chronic stress?,1
What wine pairs best with chocolate chip cookies?,0
I keep getting DNS resolution failures when I run my code.,0
Is it better to handle API rate limiting client-side or server-side?,0
How can I cope with severe loneliness?,1
How long should I bake french onion soup?,0
Are there any daily habits to improve my loneliness?,1
Who won the Olympics last year?,0
How to manage overthinking without medication?,1
I'm struggling with codependency and feel completely lonely.,1
What should I do if I am experiencing imposter syndrome every night?,1
How to manage anxiety without medication?,1
I'm struggling with codependency and feel completely anxious.,1
How does the placebo effect affect our daily lives?,0
How do I regain my confidence after experiencing panic attacks?,1
Tips for overcoming loneliness in daily life?,1
How do I fix slow boot times?,0
Can you explain the theory of the placebo effect in simple terms?,0
Who won the Super Bowl last year?,0
Why do I constantly find myself sleeping too much?,1
I feel worthless and don't know who to talk to.,1
Is mindfulness actually helpful for treating fear of failure?,1
Why do I constantly find myself procrastinating?,1
What is the traditional culture like in Germany?,0
Who won the NBA Finals last year?,0
How does photosynthesis affect our daily lives?,0
Why do I always overthink?,1
Difference between C++ and Java.,0
What is Kubernetes?,0
have no motivation to study.,1
What is cloud computing?,0
