id,main_emotion,scenario,option1,option2,option3,option4,correct_answer,difficulty,
45,Relief,Getting a good grade on a test you completely guessed on.,Affection,Neutral,Embarrassment,Relief,Relief,Medium,
46,Happy,Hearing gossip that someone you admire likes you back.,Fear,Sad,Happy,Angry,Happy,Medium,
47,Happy,Your parents finally understand and support your unusual career choice.,Neutral,Embarrassment,Happy,Angry,Happy,Medium,
48,Happy,Moving into a smaller but much cozier apartment.,Happy,Fear,Angry,Affection,Happy,Medium,
49,Happy,Adopting a rescue pet after months of waiting.,Happy,Curiosity,Fear,Sad,Happy,Medium,
50,Relief,Finding a lost sentimental item you thought was gone forever.,Relief,Happy,Fear,Embarrassment,Relief,Medium,
51,Happy,A harsh critic finally praises your creative work.,Relief,Embarrassment,Happy,Sad,Happy,Medium,
52,Happy,Winning a prize you didn't even know you applied for.,Sad,Curiosity,Angry,Happy,Happy,Medium,
53,Happy,Having a surprisingly deep conversation with a stranger.,Happy,Affection,Angry,Sad,Happy,Medium,
54,Happy,Realizing you have grown as a person and no longer get angry at small things.,Relief,Affection,Embarrassment,Happy,Happy,Medium,
55,Happy,Getting a tax refund you completely forgot about.,Relief,Happy,Angry,Fear,Happy,Medium,
56,Affection,Your partner does something small but incredibly thoughtful for you.,Neutral,Embarrassment,Affection,Angry,Affection,Medium,
57,Relief,Successfully setting a hard boundary with a toxic family member.,Neutral,Relief,Angry,Happy,Relief,Medium,
58,Happy,Overcoming a long-standing fear of public speaking.,Happy,Affection,Sad,Neutral,Happy,Medium,
59,Happy,Teaching someone a skill and seeing them succeed at it.,Relief,Happy,Neutral,Affection,Happy,Medium,
60,Happy,Seeing someone you helped land their dream job.,Embarrassment,Happy,Relief,Angry,Happy,Medium,
61,Happy,"Feeling at peace after a long, much-needed cry.",Sad,Happy,Embarrassment,Neutral,Happy,Medium,
62,Happy,Accepting an apology you waited years to hear.,Fear,Affection,Happy,Angry,Happy,Medium,
63,Happy,Realizing a bad habit is finally broken after months of trying.,Relief,Sad,Happy,Neutral,Happy,Medium,
64,Happy,"Enjoying a quiet, undisturbed moment in an otherwise chaotic day.",Happy,Affection,Sad,Neutral,Happy,Medium,
65,Relief,Getting closure on a past relationship without needing them to say anything.,Affection,Relief,Fear,Happy,Relief,Medium,
66,Happy,Your risky financial investment finally pays off slightly.,Happy,Affection,Angry,Fear,Happy,Medium,
67,Happy,Being chosen last but scoring the winning point in the game.,Angry,Embarrassment,Happy,Sad,Happy,Medium,
68,Happy,Receiving constructive feedback that actually helps you improve.,Embarrassment,Affection,Happy,Angry,Happy,Medium,
69,Relief,Realizing you no longer care about the petty drama in your friend group.,Relief,Sad,Embarrassment,Angry,Relief,Medium,
70,Relief,Finding out an event you dreaded attending is now optional.,Curiosity,Relief,Angry,Affection,Relief,Medium,
71,Happy,Getting an unexpected day to yourself when your plans cancel.,Neutral,Sad,Happy,Relief,Happy,Medium,
72,Happy,Learning a difficult concept after struggling with it all semester.,Affection,Angry,Happy,Neutral,Happy,Medium,
73,Happy,Being remembered by an old acquaintance you thought forgot you.,Happy,Embarrassment,Curiosity,Relief,Happy,Medium,
74,Happy,Your art is appreciated by someone unexpected.,Happy,Curiosity,Relief,Embarrassment,Happy,Medium,
75,Happy,Successfully cooking a complex family recipe for the first time.,Happy,Relief,Affection,Neutral,Happy,Medium,
76,Happy,Feeling truly comfortable in your own skin today.,Neutral,Sad,Happy,Embarrassment,Happy,Medium,
77,Happy,Laughing at a joke you usually wouldn't find funny.,Curiosity,Fear,Angry,Happy,Happy,Medium,
78,Happy,Seeing visible progress in your physical therapy sessions.,Relief,Happy,Fear,Curiosity,Happy,Medium,
79,Affection,Your boss defends you in a meeting when a client is rude.,Fear,Embarrassment,Sad,Affection,Affection,Medium,
80,Relief,"Finding a perfectly quiet spot in a crowded, noisy place.",Embarrassment,Fear,Angry,Relief,Relief,Medium,
81,Happy,Feeling a fleeting moment of pure contentment despite ongoing struggles.,Affection,Neutral,Curiosity,Happy,Happy,Hard,
82,Affection,Crying tears of joy at your best friend's wedding.,Angry,Affection,Happy,Fear,Affection,Hard,
83,Happy,Being proud of a massive failure because you learned a vital lesson.,Sad,Fear,Relief,Happy,Happy,Hard,
84,Happy,Feeling nostalgic but deeply grateful for a chapter of your life closing.,Sad,Happy,Curiosity,Relief,Happy,Hard,
85,Relief,Accepting a physical flaw you used to hate about yourself.,Angry,Embarrassment,Relief,Happy,Relief,Hard,
86,Happy,"Forgiving someone who didn't apologize, and feeling the weight lift.",Happy,Affection,Relief,Curiosity,Happy,Hard,
87,Relief,"Enjoying the absolute silence after a chaotic, traumatic week.",Relief,Neutral,Happy,Embarrassment,Relief,Hard,
88,Happy,"Watching someone you love be happy, even though they are moving away.",Happy,Neutral,Relief,Sad,Happy,Hard,
89,Happy,Feeling small but utterly amazed looking at the night sky.,Happy,Embarrassment,Sad,Affection,Happy,Hard,
90,Happy,"Being genuinely happy for a rival's success, realizing you've outgrown envy.",Sad,Embarrassment,Fear,Happy,Happy,Hard,
91,Happy,"Feeling a strange, quiet joy in starting over from scratch.",Happy,Affection,Embarrassment,Curiosity,Happy,Hard,
92,Happy,Smiling through physical pain because you finished a marathon.,Sad,Happy,Curiosity,Relief,Happy,Hard,
93,Happy,Realizing you survived your hardest days and are still standing.,Happy,Fear,Curiosity,Affection,Happy,Hard,
94,Happy,The bittersweet joy of packing your room to move to a new city.,Happy,Sad,Curiosity,Embarrassment,Happy,Hard,
95,Affection,Feeling deeply loved by your friends despite your recent mistakes.,Affection,Embarrassment,Sad,Curiosity,Affection,Hard,
96,Happy,A quiet pride in a silent achievement nobody else knows about.,Angry,Sad,Happy,Embarrassment,Happy,Hard,
97,Affection,"Laughing at a funeral out of a fond, beautiful memory of the deceased.",Affection,Angry,Happy,Embarrassment,Affection,Hard,
98,Relief,Feeling liberated and light after a long-term breakup you initiated.,Curiosity,Embarrassment,Relief,Sad,Relief,Hard,
99,Happy,Finding profound beauty in the mundane routine of your daily commute.,Happy,Fear,Sad,Affection,Happy,Hard,
100,Happy,Enjoying the frustrating process of struggling with a very complex puzzle.,Happy,Embarrassment,Neutral,Curiosity,Happy,Hard,
101,Sad,Your childhood pet passes away after a long illness.,Curiosity,Sad,Happy,Relief,Sad,Easy,
102,Sad,You receive an email that you failed an exam you studied hard for.,Fear,Sad,Happy,Curiosity,Sad,Easy,
103,Sad,Your best friend moves to another country for work.,Affection,Curiosity,Sad,Embarrassment,Sad,Easy,
104,Sad,Getting a rejection letter from your absolute dream job.,Angry,Embarrassment,Sad,Affection,Sad,Easy,
105,Sad,Dropping and completely shattering the screen of your brand new phone.,Sad,Embarrassment,Curiosity,Relief,Sad,Easy,
106,Sad,Seeing photos of your friend group hanging out without inviting you.,Fear,Affection,Relief,Sad,Sad,Easy,
107,Sad,"Watching the tragic, heartbreaking ending of a beautifully written movie.",Embarrassment,Sad,Happy,Relief,Sad,Easy,
108,Sad,Your partner of three years breaks up with you unexpectedly.,Sad,Angry,Affection,Relief,Sad,Easy,
109,Sad,Missing a major family holiday gathering because you have to work.,Curiosity,Angry,Fear,Sad,Sad,Easy,
110,Sad,Losing a highly sentimental piece of jewelry your grandmother gave you.,Embarrassment,Fear,Sad,Affection,Sad,Easy,
111,Sad,Getting passed over for a promotion you worked overtime for.,Sad,Affection,Happy,Angry,Sad,Easy,
112,Sad,Hearing bad news about a close relative's sudden health decline.,Neutral,Sad,Relief,Embarrassment,Sad,Easy,
113,Sad,Having to cancel a long-planned international trip due to emergencies.,Affection,Sad,Curiosity,Fear,Sad,Easy,
114,Sad,Your closest friend completely forgets your birthday this year.,Relief,Sad,Angry,Embarrassment,Sad,Easy,
115,Sad,Failing your driving test on the first try after practicing for months.,Relief,Curiosity,Neutral,Sad,Sad,Easy,
116,Sad,Your favorite local restaurant closes down permanently.,Sad,Fear,Affection,Angry,Sad,Easy,
117,Sad,Spilling hot coffee all over your favorite white shirt before work.,Relief,Neutral,Sad,Angry,Sad,Easy,
118,Sad,Getting a very low performance review despite trying your best.,Sad,Fear,Neutral,Relief,Sad,Easy,
119,Sad,Feeling intensely lonely while sitting alone in your dorm on a Friday night.,Sad,Angry,Neutral,Affection,Sad,Easy,
120,Sad,Your favorite sports team loses the championship game in the final seconds.,Neutral,Angry,Sad,Relief,Sad,Easy,
121,Sad,Looking at old photos of a lost loved one and crying.,Sad,Happy,Angry,Fear,Sad,Easy,
122,Sad,Realizing your amazing week-long vacation is officially over.,Neutral,Sad,Embarrassment,Curiosity,Sad,Easy,
123,Sad,"Having a harsh, tearful argument with your younger sibling.",Angry,Sad,Relief,Neutral,Sad,Easy,
124,Sad,Your favorite comfort TV show gets unexpectedly canceled on a cliffhanger.,Sad,Fear,Happy,Affection,Sad,Easy,
125,Sad,Failing to meet a personal fitness goal you set for the year.,Sad,Affection,Fear,Embarrassment,Sad,Easy,
126,Sad,Getting scammed out of your hard-earned savings online.,Relief,Neutral,Affection,Sad,Sad,Easy,
127,Sad,Realizing you missed a great career opportunity because you hesitated.,Sad,Embarrassment,Neutral,Relief,Sad,Easy,
128,Sad,Being intensely homesick during your very first week of college.,Embarrassment,Fear,Affection,Sad,Sad,Easy,
129,Sad,Your laptop randomly dies right before you hit save on an essay.,Affection,Sad,Angry,Happy,Sad,Easy,
130,Sad,A stranger is incredibly rude to you for absolutely no reason.,Embarrassment,Relief,Sad,Fear,Sad,Easy,
131,Sad,"Seeing a sick, homeless animal shivering on the street in the rain.",Sad,Relief,Fear,Neutral,Sad,Easy,
132,Sad,Having to say a tearful goodbye to your family at the airport terminal.,Curiosity,Neutral,Relief,Sad,Sad,Easy,
133,Sad,Your beautiful houseplants die despite you watering them carefully.,Curiosity,Fear,Angry,Sad,Sad,Easy,
134,Sad,Realizing a close friendship is slowly fading away into nothing.,Fear,Embarrassment,Angry,Sad,Sad,Easy,
135,Sad,Getting terribly sick right before a massive music festival.,Relief,Sad,Curiosity,Embarrassment,Sad,Easy,
136,Sad,Someone makes a mean joke about your physical appearance in public.,Embarrassment,Happy,Affection,Sad,Sad,Easy,
137,Sad,Losing a project file you spent the entire weekend working on.,Relief,Curiosity,Sad,Angry,Sad,Easy,
138,Sad,Feeling completely unheard during an important group discussion.,Embarrassment,Angry,Neutral,Sad,Sad,Easy,
139,Sad,Realizing you cannot afford the medical treatment your dog needs.,Sad,Happy,Angry,Affection,Sad,Easy,
140,Sad,Watching a small child cry because they dropped their ice cream.,Fear,Neutral,Sad,Curiosity,Sad,Easy,
141,Sad,Graduating college but feeling entirely unsure and lost about the future.,Fear,Happy,Angry,Sad,Sad,Medium,
142,Sad,Your ex starts dating someone new and they look incredibly happy.,Happy,Embarrassment,Sad,Relief,Sad,Medium,
143,Sad,Realizing you are fundamentally outgrowing your high school hometown friends.,Happy,Sad,Curiosity,Relief,Sad,Medium,
144,Sad,"Finishing an amazing, immersive book series and feeling suddenly empty.",Happy,Neutral,Angry,Sad,Sad,Medium,
145,Sad,"A beloved, long-time mentor retires and quietly leaves the company.",Sad,Happy,Neutral,Curiosity,Sad,Medium,
146,Sad,Selling your childhood home and walking through the empty rooms one last time.,Happy,Relief,Angry,Sad,Sad,Medium,
147,Sad,Realizing your parents are noticeably aging and slowing down.,Sad,Curiosity,Happy,Affection,Sad,Medium,
148,Sad,Getting exactly what you wanted but feeling entirely unfulfilled by it.,Sad,Happy,Curiosity,Affection,Sad,Medium,
149,Sad,A peer succeeds in the exact area where you recently failed.,Sad,Happy,Embarrassment,Angry,Sad,Medium,
150,Sad,Seeing a quiet forest you loved completely destroyed by urban development.,Relief,Sad,Affection,Embarrassment,Sad,Medium,
151,Sad,Packing away favorite clothes that no longer fit your changing body.,Curiosity,Sad,Happy,Fear,Sad,Medium,
152,Fear,Realizing a cherished childhood memory is slowly fading from your mind.,Relief,Affection,Fear,Neutral,Fear,Medium,
153,Sad,"Finally giving up on a long-held, unrealistic dream.",Happy,Sad,Embarrassment,Angry,Sad,Medium,
154,Sad,Attending a high school reunion and feeling like you fell behind everyone.,Embarrassment,Affection,Sad,Happy,Sad,Medium,
155,Sad,A favorite indie bookstore closes down due to rising rent costs.,Curiosity,Sad,Affection,Fear,Sad,Medium,
156,Sad,Listening to a beautiful song that is permanently linked to a bad memory.,Sad,Angry,Fear,Curiosity,Sad,Medium,
157,Sad,Seeing someone you care about struggle deeply and being unable to help.,Sad,Neutral,Angry,Relief,Sad,Medium,
158,Sad,Realizing you compromised your core values just to fit in with a group.,Sad,Happy,Neutral,Curiosity,Sad,Medium,
159,Sad,Feeling deeply disconnected and isolated in a room full of chatting people.,Curiosity,Embarrassment,Sad,Fear,Sad,Medium,
160,Sad,"A romantic date goes perfectly on paper, but entirely lacks a real spark.",Relief,Sad,Embarrassment,Neutral,Sad,Medium,
161,Sad,Receiving an apology that feels incredibly rehearsed and insincere.,Curiosity,Embarrassment,Relief,Sad,Sad,Medium,
162,Curiosity,Discovering a family secret that changes how you view your entire childhood.,Affection,Sad,Curiosity,Happy,Curiosity,Medium,
163,Sad,Feeling utterly exhausted and drained even after sleeping for twelve hours.,Affection,Happy,Relief,Sad,Sad,Medium,
164,Sad,A major passion project you lead is quietly canceled by upper management.,Sad,Happy,Neutral,Embarrassment,Sad,Medium,
165,Sad,Realizing you were actually the toxic person in a past friendship.,Neutral,Happy,Embarrassment,Sad,Sad,Medium,
166,Sad,Having to put a beloved hobby on hold indefinitely due to financial stress.,Angry,Happy,Sad,Neutral,Sad,Medium,
167,Sad,Seeing a childhood hero publicly fall from grace due to a scandal.,Fear,Affection,Embarrassment,Sad,Sad,Medium,
168,Sad,Feeling deeply nostalgic for a time period that wasn't actually good for you.,Happy,Angry,Affection,Sad,Sad,Medium,
169,Sad,Someone loudly praises a flaw you are deeply and secretly insecure about.,Sad,Neutral,Embarrassment,Affection,Sad,Medium,
170,Sad,Realizing you have absolutely nothing in common with your sibling anymore.,Relief,Affection,Curiosity,Sad,Sad,Medium,
171,Sad,Achieving a massive goal and realizing it does not fix your mental health.,Relief,Happy,Sad,Affection,Sad,Medium,
172,Sad,Watching an elderly person quietly eat alone at a romantic restaurant.,Relief,Sad,Affection,Neutral,Sad,Medium,
173,Sad,Finding a hopeful letter you wrote to your older self ten years ago.,Sad,Curiosity,Fear,Angry,Sad,Medium,
174,Sad,Realizing a cultural tradition will likely end completely with your generation.,Affection,Embarrassment,Sad,Happy,Sad,Medium,
175,Sad,"Being forgiven by someone you hurt, but still feeling entirely guilty.",Fear,Affection,Sad,Curiosity,Sad,Medium,
176,Sad,"Seeing the mundane, boring reality of what used to be your dream job.",Curiosity,Neutral,Angry,Sad,Sad,Medium,
177,Sad,Realizing you forgot how to speak your grandmother's native language.,Curiosity,Affection,Angry,Sad,Sad,Medium,
178,Sad,Having to rehome a rescue pet because you have to move overseas.,Embarrassment,Affection,Angry,Sad,Sad,Medium,
179,Fear,Looking in the mirror and briefly not recognizing the person looking back.,Sad,Fear,Embarrassment,Neutral,Fear,Medium,
180,Sad,"Realizing a perfectly happy, beautiful moment is already passing by.",Angry,Neutral,Affection,Sad,Sad,Medium,
181,Neutral,"Feeling a hollow, confusing emptiness when an abusive family member passes away.",Angry,Relief,Neutral,Fear,Neutral,Hard,
182,Sad,"The profound, unexplainable melancholy of a perfectly beautiful, quiet Sunday afternoon.",Sad,Curiosity,Fear,Angry,Sad,Hard,
183,Sad,Grieving deeply for a fictional version of yourself that never actually existed.,Curiosity,Angry,Sad,Happy,Sad,Hard,
184,Sad,Mourning the end of a relationship that you actively and willingly chose to end.,Embarrassment,Happy,Relief,Sad,Sad,Hard,
185,Neutral,"Feeling a profound, quiet emptiness after securing a major, life-altering victory.",Happy,Neutral,Embarrassment,Angry,Neutral,Hard,
186,Sad,The crushing sadness of knowing someone is lying specifically to protect your feelings.,Affection,Sad,Curiosity,Neutral,Sad,Hard,
187,Neutral,Feeling an odd sorrow because you realize you no longer feel angry at your abuser.,Relief,Happy,Sad,Neutral,Neutral,Hard,
188,Fear,"Experiencing the terrifying realization that your intense, familiar grief is finally fading away.",Embarrassment,Happy,Fear,Relief,Fear,Hard,
189,Sad,"Weeping quietly at the sheer, overwhelming beauty of a classical piece of music.",Sad,Fear,Neutral,Affection,Sad,Hard,
190,Sad,"Feeling profound, pitying sorrow for someone who actively and openly hates you.",Happy,Sad,Fear,Neutral,Sad,Hard,
191,Sad,"The quiet, creeping despair of comfortably settling for 'good enough' in life.",Sad,Angry,Happy,Affection,Sad,Hard,
192,Sad,"Missing a highly toxic ex desperately, despite knowing exactly how bad they were.",Curiosity,Sad,Happy,Affection,Sad,Hard,
193,Fear,Feeling intensely isolated precisely because you are finally completely understood by someone.,Angry,Fear,Curiosity,Happy,Fear,Hard,
194,Sad,"The heavy sadness of being absolutely right about a terrible, impending disaster.",Sad,Embarrassment,Neutral,Fear,Sad,Hard,
195,Sad,Grieving intensely for a complete stranger you merely read about in the morning news.,Angry,Neutral,Affection,Sad,Sad,Hard,
196,Sad,"Feeling a sudden, crashing wave of sorrow in the middle of a crowded, loud nightclub.",Curiosity,Affection,Sad,Fear,Sad,Hard,
197,Sad,"The painful, necessary grief of outgrowing a deeply held, comforting religious belief.",Sad,Fear,Neutral,Happy,Sad,Hard,
198,Neutral,Being completely and totally emotionally numb after months of non-stop crying and stress.,Relief,Sad,Happy,Neutral,Neutral,Hard,
199,Fear,"The terrifying sorrow of finally forgiving yourself for a major, life-ruining mistake.",Fear,Embarrassment,Happy,Curiosity,Fear,Hard,
200,Fear,The existential dread of realizing your life is half over and entirely ordinary.,Curiosity,Relief,Happy,Fear,Fear,Hard,
201,Angry,Someone cuts you off aggressively in traffic and flips you the bird.,Angry,Embarrassment,Curiosity,Relief,Angry,Easy,
202,Angry,A coworker blatantly takes credit for your hard work during a team meeting.,Relief,Happy,Angry,Sad,Angry,Easy,
203,Angry,Your sibling breaks your favorite item on purpose during a petty argument.,Embarrassment,Angry,Relief,Happy,Angry,Easy,
204,Angry,A customer yells at you for a store policy you cannot control.,Embarrassment,Angry,Happy,Relief,Angry,Easy,
205,Angry,Finding out a friend lied to your face about why they cancelled plans.,Affection,Angry,Happy,Curiosity,Angry,Easy,
206,Angry,Stubbing your toe hard on a table leg that someone moved into the hallway.,Neutral,Relief,Angry,Curiosity,Angry,Easy,
207,Angry,Your train is delayed for the third time this week making you late.,Happy,Sad,Neutral,Angry,Angry,Easy,
208,Angry,Someone skips the long line right in front of you at the grocery store.,Neutral,Angry,Embarrassment,Curiosity,Angry,Easy,
209,Angry,Getting a parking ticket when you clearly paid the meter on time.,Curiosity,Fear,Affection,Angry,Angry,Easy,
210,Angry,Your roommate eats the expensive leftovers you specifically saved for dinner.,Curiosity,Neutral,Affection,Angry,Angry,Easy,
211,Angry,"A troll leaves a deeply personal, nasty comment on your social media post.",Embarrassment,Relief,Angry,Sad,Angry,Easy,
212,Angry,Your phone dies during an extremely important phone call because the charger is broken.,Curiosity,Angry,Neutral,Sad,Angry,Easy,
213,Angry,Someone repeatedly and loudly interrupts you every time you try to speak in a meeting.,Angry,Embarrassment,Curiosity,Affection,Angry,Easy,
214,Angry,The internet goes completely down while you are working against a very tight deadline.,Sad,Angry,Curiosity,Embarrassment,Angry,Easy,
215,Angry,"Stepping into a deep puddle wearing brand new, expensive shoes.",Relief,Sad,Happy,Angry,Angry,Easy,
216,Angry,"Your neighbor plays incredibly loud, bass-heavy music at 3 AM on a Tuesday.",Curiosity,Angry,Sad,Fear,Angry,Easy,
217,Angry,A retail store bluntly refuses to accept a completely valid return with a receipt.,Affection,Relief,Embarrassment,Angry,Angry,Easy,
218,Angry,Being loudly and falsely accused of cheating on an exam by a strict professor.,Fear,Angry,Embarrassment,Relief,Angry,Easy,
219,Angry,Your expensive new clothes completely shrink in the wash despite following all care instructions.,Embarrassment,Angry,Neutral,Fear,Angry,Easy,
220,Angry,A reckless driver speeds through a puddle and splashes dirty water all over your outfit.,Neutral,Happy,Fear,Angry,Angry,Easy,
221,Angry,Someone thoughtlessly spoils the ending of a movie you have been waiting months to see.,Neutral,Angry,Embarrassment,Happy,Angry,Easy,
222,Angry,Dropping a full glass of juice and it shatters everywhere right after you finished cleaning.,Angry,Embarrassment,Sad,Curiosity,Angry,Easy,
223,Angry,Your boss hands you a massive pile of new work right at closing time on Friday.,Angry,Neutral,Sad,Affection,Angry,Easy,
224,Angry,"Finding a huge, fresh scratch on the side of your properly parked car.",Angry,Happy,Curiosity,Relief,Angry,Easy,
225,Angry,A neighbor's dog completely ruins your carefully planted garden and they refuse to apologize.,Affection,Fear,Angry,Embarrassment,Angry,Easy,
226,Angry,Getting placed on indefinite hold by customer service for over an hour.,Fear,Angry,Affection,Happy,Angry,Easy,
227,Angry,Someone takes your clearly labeled mug from the office kitchen and leaves it dirty.,Affection,Neutral,Angry,Sad,Angry,Easy,
228,Angry,"Tripping on an uneven, poorly maintained sidewalk and dropping your groceries.",Curiosity,Embarrassment,Neutral,Angry,Angry,Easy,
229,Angry,"Receiving an incredibly passive-aggressive, unhelpful email from a notoriously difficult colleague.",Affection,Angry,Fear,Sad,Angry,Easy,
230,Angry,"Your delivery food finally arrives two hours late, completely cold and ruined.",Happy,Angry,Sad,Affection,Angry,Easy,
231,Angry,A friend cancels highly anticipated plans at the very last minute with a weak excuse.,Curiosity,Angry,Sad,Happy,Angry,Easy,
232,Angry,Biting into a delicious sandwich at a restaurant and finding a long hair inside.,Neutral,Curiosity,Sad,Angry,Angry,Easy,
233,Angry,A large group of slow walkers completely blocks the entire path and refuses to move.,Affection,Neutral,Happy,Angry,Angry,Easy,
234,Angry,"Your computer abruptly forces an update without asking, making you lose hours of work.",Affection,Sad,Angry,Fear,Angry,Easy,
235,Angry,Someone sits right next to you on an empty bus and chews loudly with their mouth open.,Embarrassment,Angry,Affection,Sad,Angry,Easy,
236,Fear,"Someone violently bangs on your door in the middle of the night, shouting.",Fear,Sad,Relief,Curiosity,Fear,Easy,
237,Angry,You find out your partner has been cheating on you with your best friend.,Angry,Sad,Neutral,Embarrassment,Angry,Easy,
238,Fear,"A large, aggressive dog snarls and snaps at you while you are jogging.",Curiosity,Happy,Angry,Fear,Fear,Easy,
239,Sad,You drop your brand new phone and the screen shatters into a million pieces.,Sad,Affection,Fear,Angry,Sad,Easy,
240,Angry,Being unfairly accused of stealing at work and threatened with police action.,Angry,Affection,Sad,Relief,Angry,Easy,
241,Angry,"A family member gives you unsolicited, highly critical advice about your parenting.",Neutral,Happy,Angry,Embarrassment,Angry,Medium,
242,Angry,You discover a secret was kept from you by everyone for your own good.,Embarrassment,Fear,Angry,Curiosity,Angry,Medium,
243,Angry,Being told to calm down when you are reasonably expressing your frustration.,Relief,Angry,Sad,Curiosity,Angry,Medium,
244,Angry,Someone apologizes to you but immediately follows it with a defensive excuse.,Sad,Angry,Happy,Neutral,Angry,Medium,
245,Angry,"Your quiet, polite complaint is loudly treated like a major, irrational outburst.",Affection,Neutral,Embarrassment,Angry,Angry,Medium,
246,Angry,Seeing a known bully succeed at work without facing any consequences for their actions.,Curiosity,Fear,Angry,Sad,Angry,Medium,
